product_id,machine_id,t,quantity,hours
P05,M03,3,142.7,14.27
P05,M02,3,226.7,20.403
P05,M03,4,142.8,14.280000000000001
P05,M02,4,212.0,19.08
P05,M03,5,148.8,14.880000000000003
P05,M02,5,213.3,19.197
P05,M03,6,132.7,13.27
P05,M02,6,236.6,21.293999999999997
P05,M02,7,372.2,33.498
P05,M03,8,142.5,14.25
P05,M02,8,221.1,19.898999999999997
P05,M02,9,365.3,32.877
P05,M03,10,133.6,13.36
P05,M02,10,234.1,21.069
P05,M03,11,136.2,13.62
P05,M02,11,232.8,20.952
P05,M03,12,66.2,6.620000000000001
P05,M02,12,299.1,26.919
P06,M03,1,47.8,14.339999999999998
P06,M04,2,9.6,2.688
P06,M03,2,39.0,11.7
P06,M03,3,49.4,14.819999999999999
P06,M04,4,4.9,1.3720000000000003
P06,M03,4,41.1,12.33
P06,M04,5,4.9,1.3720000000000003
P06,M03,5,41.9,12.569999999999999
P06,M03,6,48.3,14.489999999999998
P06,M04,7,48.3,13.524000000000001
P06,M04,8,2.8,0.784
P06,M03,8,43.2,12.96
P06,M03,9,46.3,13.889999999999999
P06,M04,10,4.4,1.2320000000000002
P06,M03,10,41.9,12.569999999999999
P06,M03,11,46.3,13.889999999999999
P06,M04,12,5.0,1.4000000000000001
P06,M03,12,39.1,11.73
P07,M06,1,21.5,9.03
P07,M05,2,23.4,10.53
P07,M06,3,23.8,9.996
P07,M05,4,23.8,10.71
P07,M06,5,23.8,9.996
P07,M05,6,23.8,10.71
P07,M05,7,23.8,10.71
P07,M06,8,23.8,9.996
P07,M06,9,23.8,9.996
P07,M05,10,23.8,10.71
P07,M05,11,23.7,10.665
P07,M06,12,23.7,9.953999999999999
P08,M04,1,418.5,41.85
P08,M03,1,5.5,0.6599999999999999
P08,M04,2,391.7,39.17
P08,M04,3,387.3,38.730000000000004
P08,M04,4,404.8,40.480000000000004
P08,M04,5,404.8,40.480000000000004
P08,M04,6,396.6,39.660000000000004
P08,M04,7,75.7,7.57
P08,M03,7,348.8,41.856
P08,M04,8,410.7,41.07
P08,M04,9,406.1,40.61000000000001
P08,M04,10,406.1,40.61000000000001
P08,M04,11,404.4,40.44
P08,M04,12,404.4,40.44
P09,M05,1,33.7,11.795
P09,M05,2,36.2,12.67
P09,M05,3,35.0,12.25
P09,M06,4,34.3,13.033999999999999
P09,M06,5,35.3,13.414
P09,M06,6,36.1,13.718
P09,M05,7,33.9,11.864999999999998
P09,M05,8,33.9,11.864999999999998
P09,M05,9,35.0,12.25
P09,M06,10,35.6,13.528
P09,M06,11,35.2,13.376000000000001
P09,M06,12,35.0,13.3
P10,M05,1,21.6,11.880000000000003
P10,M05,2,22.0,12.100000000000001
P10,M05,3,21.8,11.990000000000002
P10,M05,4,22.4,12.32
P10,M05,5,22.4,12.32
P10,M05,6,22.4,12.32
P10,M05,7,22.4,12.32
P10,M05,8,22.5,12.375000000000002
P10,M06,9,22.5,11.25
P10,M05,10,22.5,12.375000000000002
P10,M05,11,22.5,12.375000000000002
P10,M05,12,22.5,12.375000000000002
